2014-01-01,14,4,晴,西风,3-4级
2014-01-02,15,5,晴,西南风~东南风,3-4级
2014-01-03,16,8,多云,东南风~北风,3-4级
2014-01-04,10,6,多云,西北风,3-4级
2014-01-05,11,3,晴,北风~东北风,3-4级
2014-01-06,11,5,多云,东风~东南风,3-4级
2014-01-07,14,8,多云转小雨,东南风,4-5级~3-4级
2014-01-08,9,6,中雨转小雨,东南风~北风,3-4级~4-5级
2014-01-09,6,2,小雨转多云,北风,4-5级
2014-01-10,7,0,多云转晴,北风~东北风,3-4级
2014-01-11,8,4,阴转小雨,东风,3-4级
2014-01-12,8,4,小雨,东北风~北风,3-4级
2014-01-13,7,3,阴转多云,北风,4-5级~3-4级
2014-01-14,7,2,多云,东北风,3-4级~4-5级
2014-01-15,8,2,晴,东北风,3-4级
2014-01-16,10,3,晴转多云,东北风~东风,3-4级
2014-01-17,11,3,多云转晴,东南风~东风,3-4级
2014-01-18,9,3,晴,西北风,小于3级~4-5级
2014-01-19,10,2,晴,北风~东南风,3-4级
2014-01-20,9,3,晴转多云,南风~西北风,3-4级~4-5级
2014-01-21,10,1,晴,西北风,4-5级
2014-01-22,6,0,晴,西北风~北风,3-4级
2014-01-23,10,1,晴,南风,3-4级
2014-01-24,15,6,晴,南风,3-4级
2014-01-25,18,8,多云,南风~北风,4-5级
2014-01-26,9,6,多云,北风~东北风,4-5级
2014-01-27,10,5,多云,东北风~东风,4-5级~3-4级
2014-01-28,14,6,晴转多云,东南风~东北风,3-4级
2014-01-29,14,7,阴转小雨,东南风~南风,3-4级
2014-01-30,18,8,阴转多云,西风~南风,3-4级
2014-01-31,18,10,晴转多云,东南风,3-4级
2014-02-01,23,12,晴,南风,4-5级~3-4级
2014-02-02,20,12,多云,西南风~东风,小于3级
2014-02-03,20,12,多云,西南风~东风,小于3级
2014-02-04,10,4,小雨转多云,北风,4-5级
2014-02-05,7,3,小雨,东北风~东风,3-4级~4-5级
2014-02-06,9,6,中雨转小雨,东风~东北风,4-5级
2014-02-07,7,5,中雨,东北风~北风,4-5级
2014-02-08,7,3,小雨转多云,北风,4-5级
2014-02-09,4,2,阴转雨夹雪,北风,4-5级
2014-02-10,3,0,阴,北风,4-5级
2014-02-11,5,-1,阴,北风,4-5级
2014-02-12,4,-1,多云转小雨,北风,4-5级~3-4级
2014-02-13,7,3,雨夹雪转小雨,北风~东北风,4-5级
2014-02-14,9,4,阴转多云,北风,4-5级
2014-02-15,10,2,晴转多云,北风~东北风,3-4级
2014-02-16,9,5,阴转中雨,东南风,3-4级
2014-02-17,9,6,中雨,东南风~北风,3-4级
2014-02-18,7,5,小雨转大雨,东北风~北风,4-5级
2014-02-19,7,3,雨夹雪,西北风,4-5级
2014-02-20,9,1,多云转晴,西北风~北风,4-5级~3-4级
2014-02-21,9,2,晴,东北风,3-4级
2014-02-22,11,3,多云,东风,3-4级
2014-02-23,12,5,多云,东风,3-4级
2014-02-24,13,6,多云转小雨,东风,3-4级
2014-02-25,11,8,中雨,东风,3-4级~4-5级
2014-02-26,13,9,小雨,南风~西北风,3-4级~4-5级
2014-02-27,13,7,阴,北风,3-4级
2014-02-28,11,8,小雨,东北风~东风,小于3级
2014-03-01,9,6,中雨转小雨,东风~东北风,3-4级~4-5级
2014-03-02,11,4,小雨转多云,北风~东北风,4-5级
2014-03-03,12,7,阴转多云,东北风~东风,3-4级~4-5级
2014-03-04,11,9,小雨,东风~东北风,4-5级
2014-03-05,11,6,多云,北风,4-5级
2014-03-06,8,5,阴转小雨,东北风,3-4级
2014-03-07,10,4,多云转阴,东北风,3-4级~4-5级
2014-03-08,8,6,小雨,东风,3-4级
2014-03-09,13,3,多云转晴,西北风~北风,3-4级
2014-03-10,13,4,晴,东北风~东风,3-4级
2014-03-11,15,6,晴,东南风,3-4级~4-5级
2014-03-12,16,10,小雨,南风~西南风,4-5级~3-4级
2014-03-13,11,6,小雨转多云,北风,4-5级
2014-03-14,15,4,晴,北风~西风,4-5级~3-4级
2014-03-15,18,8,晴,西南风,3-4级
2014-03-16,21,10,晴转多云,南风,3-4级
2014-03-17,22,13,阵雨,南风,3-4级
2014-03-18,24,13,晴转多云,西南风~东北风,3-4级
2014-03-19,15,10,小雨转中雨,东风~东北风,小于3级~3-4级
2014-03-20,13,8,小雨转多云,北风,4-5级
2014-03-21,14,5,多云转晴,北风,3-4级
2014-03-22,17,5,晴,南风,3-4级
2014-03-23,18,8,晴转多云,东南风,3-4级
2014-03-24,20,11,多云,东南风~南风,3-4级
2014-03-25,19,14,小雨转中雨,东南风,3-4级
2014-03-26,22,15,小雨转多云,西北风~北风,3-4级
2014-03-27,21,13,多云,东北风~东风,3-4级
2014-03-28,20,13,阴转小雨,东南风,4-5级
2014-03-29,19,14,中雨转大雨,南风~北风,3-4级
2014-03-30,19,12,阴转多云,北风~东北风,3-4级
2014-03-31,16,11,多云转阴,东北风~东风,3-4级
2014-04-01,18,12,阴,东风,3-4级
2014-04-02,18,12,多云转阴,东风,3-4级
2014-04-03,18,13,小雨,东风~北风,3-4级~4-5级
2014-04-04,18,9,多云转晴,北风~西北风,4-5级~3-4级
2014-04-05,19,10,晴,西风~东北风,3-4级~4-5级
2014-04-06,16,8,晴转多云,东北风~东南风,3-4级
2014-04-07,19,12,小雨转多云,东南风,3-4级
2014-04-08,21,12,阴转多云,东南风,3-4级
2014-04-09,23,14,多云转晴,东风~东南风,3-4级
2014-04-10,24,13,多云,东南风,3-4级
2014-04-11,21,14,多云转阴,东南风,3-4级~4-5级
2014-04-12,17,14,大雨转中雨,东南风,4-5级
2014-04-13,18,14,小雨,北风,4-5级
2014-04-14,21,12,多云转晴,东北风,3-4级
2014-04-15,21,12,晴转多云,东南风,3-4级~4-5级
2014-04-16,19,14,小雨,东南风,4-5级
2014-04-17,23,17,小雨转雷阵雨,南风~西风,3-4级
2014-04-18,20,15,阴转多云,微风~东北风,小于3级~3-4级
2014-04-19,15,13,小雨转大雨,东北风,4-5级
2014-04-20,18,13,小雨,东风~东北风,4-5级~3-4级
2014-04-21,17,13,小雨,东北风,3-4级
2014-04-22,19,12,小雨转多云,东北风~东风,3-4级
2014-04-23,22,13,晴转多云,东风~东南风,小于3级~3-4级
2014-04-24,22,14,多云转阴,东南风,3-4级~4-5级
2014-04-25,22,16,多云转阴,东南风,4-5级
2014-04-26,19,17,中雨转大雨,东南风,4-5级
2014-04-27,22,16,中雨转小雨,东南风~西北风,4-5级~3-4级
2014-04-28,20,15,小雨转多云,西北风,4-5级
2014-04-29,22,13,多云,西北风,3-4级
2014-04-30,24,13,晴转多云,西北风,3-4级
