‘§≤‚÷µ,’Ê÷µ,ŒÛ≤Ó
125 ,150 ,-25 
94 ,65 ,29 
88 ,46 ,42 
67 ,155 ,-88 
141 ,224 ,-83 
64 ,99 ,-35 
106 ,141 ,-35 
106 ,60 ,46 
99 ,48 ,52 
93 ,113 ,-20 
111 ,220 ,-109 
27 ,103 ,-77 
40 ,39 ,1 
200 ,184 ,16 
63 ,80 ,-17 
105 ,69 ,36 
99 ,68 ,31 
36 ,55 ,-19 
205 ,243 ,-39 
141 ,216 ,-75 
251 ,277 ,-26 
99 ,74 ,25 
228 ,157 ,71 
119 ,66 ,53 
98 ,74 ,25 
498 ,408 ,90 
94 ,124 ,-30 
86 ,92 ,-6 
68 ,98 ,-30 
64 ,79 ,-16 
162 ,160 ,2 
88 ,167 ,-79 
72 ,72 ,0 
69 ,34 ,35 
91 ,70 ,21 
114 ,79 ,35 
130 ,59 ,71 
97 ,109 ,-12 
21 ,41 ,-20 
124 ,156 ,-31 
71 ,144 ,-74 
195 ,265 ,-70 
74 ,84 ,-10 
85 ,126 ,-41 
62 ,72 ,-10 
130 ,156 ,-26 
105 ,84 ,21 
124 ,188 ,-64 
167 ,174 ,-7 
107 ,97 ,10 
196 ,184 ,12 
37 ,70 ,-33 
89 ,89 ,-1 
113 ,209 ,-96 
185 ,151 ,33 
255 ,192 ,63 
135 ,364 ,-229 
67 ,143 ,-76 
102 ,70 ,32 
248 ,170 ,77 
150 ,170 ,-20 
16 ,60 ,-43 
109 ,137 ,-28 
85 ,93 ,-8 
102 ,111 ,-9 
101 ,117 ,-16 
68 ,53 ,15 
87 ,99 ,-12 
62 ,64 ,-1 
146 ,62 ,84 
140 ,292 ,-152 
221 ,130 ,90 
107 ,84 ,23 
203 ,297 ,-94 
165 ,106 ,59 
205 ,262 ,-58 
151 ,127 ,24 
95 ,56 ,39 
89 ,50 ,39 
119 ,70 ,49 
102 ,103 ,-1 
285 ,314 ,-29 
135 ,85 ,50 
95 ,37 ,58 
402 ,288 ,114 
84 ,46 ,38 
56 ,75 ,-19 
148 ,119 ,29 
111 ,213 ,-102 
125 ,189 ,-64 
81 ,94 ,-13 
45 ,98 ,-53 
113 ,114 ,-1 
82 ,55 ,27 
62 ,47 ,14 
83 ,120 ,-37 
143 ,195 ,-52 
127 ,237 ,-110 
97 ,87 ,10 
74 ,43 ,31 
106 ,132 ,-26 
69 ,42 ,27 
105 ,72 ,32 
150 ,244 ,-94 
143 ,177 ,-35 
93 ,89 ,4 
103 ,106 ,-3 
84 ,46 ,38 
116 ,82 ,34 
295 ,307 ,-13 
225 ,236 ,-12 
125 ,63 ,61 
246 ,196 ,50 
125 ,171 ,-46 
112 ,78 ,35 
119 ,214 ,-95 
115 ,61 ,54 
93 ,68 ,24 
93 ,126 ,-33 
97 ,102 ,-5 
62 ,33 ,29 
119 ,105 ,14 
152 ,181 ,-29 
179 ,107 ,71 
103 ,157 ,-54 
241 ,174 ,67 
91 ,54 ,38 
55 ,104 ,-50 
269 ,271 ,-2 
164 ,280 ,-116 
84 ,111 ,-27 
88 ,91 ,-2 
98 ,52 ,46 
120 ,154 ,-34 
129 ,69 ,60 
89 ,146 ,-57 
82 ,60 ,22 
339 ,133 ,207 
251 ,256 ,-5 
96 ,136 ,-40 
99 ,98 ,1 
415 ,304 ,111 
372 ,190 ,182 
101 ,186 ,-85 
69 ,127 ,-59 
125 ,160 ,-35 
68 ,96 ,-28 
210 ,166 ,44 
295 ,293 ,2 
105 ,62 ,44 
56 ,116 ,-60 
109 ,66 ,43 
54 ,74 ,-20 
98 ,102 ,-4 
102 ,112 ,-9 
127 ,184 ,-57 
119 ,86 ,33 
97 ,51 ,46 
238 ,344 ,-106 
243 ,128 ,115 
134 ,224 ,-90 
53 ,48 ,5 
151 ,295 ,-144 
111 ,170 ,-59 
